Player_ID,Name,Team,Opponent,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form
8000978,Tristan Xerri,NME,CAR,RK,,15320,104.1,37.44379394,66.7,179,89.4,76
8000282,Caleb Daniel,NME,CAR,DEF,,14060,96.9,23.88932252,73,144.7,101.2,100.33
8002331,Harry Sheezel,NME,CAR,MID,,16150,107.3,22.51936053,84.8,152.3,106.2,105
8001760,Elijah Hollands,CAR,NME,FWD,MID,10250,69.9,21.38822922,48.5,112.7,0,0
8002625,Will White,CAR,NME,FWD,,6660,51.5,16.97056275,34.5,85.4,57,57
8000503,Darcy Tucker,NME,CAR,DEF,,9400,66.2,22.31547998,43.9,110.8,59.2,74
8001557,Charlie Comben,NME,CAR,DEF,,7650,55.3,24.33291822,31,104,49.4,49
8000332,Jack Darling,NME,CAR,FWD,RK,8760,61.2,23.44628406,37.8,108.1,59.6,52.67
8000945,Lachie Fogarty,CAR,NME,FWD,MID,7290,50.3,20.78433228,29.5,91.9,50.6,56
8002349,Jacob Konstanty,NME,CAR,FWD,,6220,46.5,11.9707978,34.5,70.4,42.6,41.33
8000242,Luke Parker,NME,CAR,MID,,12050,79.7,26.52186041,53.2,132.7,85,88.33
8001384,Sam Walsh,CAR,NME,MID,,16160,104.6,22.57748845,82,149.8,105.2,114.33
8000972,Luke Davies-Uniacke,NME,CAR,MID,,14050,91.7,27.0322243,64.7,145.8,89,91.67
8001578,Dylan Stephens,NME,CAR,MID,,8210,55.8,22.47218227,33.3,100.7,52.25,64.67
8000906,Lewis Young,CAR,NME,FWD,RK,8070,57.6,17.13266346,40.5,91.9,58,58
8000004,Patrick Cripps,CAR,NME,MID,,14170,92.2,25.3274169,66.9,142.9,81.4,72.33
8001781,Tom Powell,NME,CAR,MID,,13520,87.6,23.20733266,64.4,134,92.8,81.67
8000099,Zac Williams,CAR,NME,FWD,DEF,9520,64.6,25.80868092,38.8,116.2,52.8,56
8000231,George Hewett,CAR,NME,MID,,16110,102.9,24.72062899,78.2,152.3,113.4,115.33
8002332,George Wardlaw,NME,CAR,MID,,12050,77.8,20.09117679,57.7,118,0,0
8000832,Nick Larkey,NME,CAR,FWD,,8750,60.6,24.46586561,36.1,109.5,61.6,59.67
8001839,Jesse Motlop,CAR,NME,FWD,,7070,50.6,17.00386171,33.6,84.6,58.2,55
8000379,Blake Acres,CAR,NME,MID,,12080,77.5,23.1478868,54.4,123.8,73.5,67.33
8002466,Colby McKercher,NME,CAR,MID,DEF,10960,69.5,27.64890422,41.9,124.8,62,59.33
8000022,Jacob Weitering,CAR,NME,DEF,,9510,61.8,20.90273902,40.9,103.6,67.6,64.33
8000078,Aidan Corr,NME,CAR,DEF,,8280,54.4,19.69251036,34.7,93.8,62.8,56.33
8000147,Adam Saad,CAR,NME,DEF,,11980,71.9,17.89793439,54,107.7,76,84.33
8000167,Mitch McGovern,CAR,NME,DEF,,10110,65.3,19.62444445,45.7,104.5,63.6,72.67
8000835,Jy Simpkin,NME,CAR,MID,,14030,87.8,27.29001309,60.5,142.4,103.6,104
8000537,Nick Haynes,CAR,NME,DEF,,11070,67.5,23.65306229,43.8,114.8,67,77.67
8000637,Jack Silvagni,CAR,NME,DEF,,10350,67.4,22.5020385,44.9,112.4,73.2,70
8000716,Zac Fisher,NME,CAR,DEF,,12130,77.4,22.18980747,55.2,121.8,66,66
8000764,Griffin Logue,NME,CAR,DEF,,7670,45.7,19.68056726,26,85.1,41,41
8000839,Cameron Zurhaar,NME,CAR,FWD,,9990,65.3,20.52784249,44.8,106.4,68.4,51.33
8001885,Paul Curtis,NME,CAR,FWD,,9880,66.8,18.63836476,48.2,104.1,77.6,69
8000918,Tom De Koning,CAR,NME,RK,,16140,96.1,26.19126512,69.9,148.5,105.2,95.67
8000005,Charlie Curnow,CAR,NME,FWD,,12390,67.2,26.12737647,41.1,119.5,50.5,62
8001378,Matthew Cottrell,CAR,NME,FWD,,9010,57.9,19.43568101,38.5,96.8,67.75,71
8000190,Luke McDonald,NME,CAR,DEF,,8450,57.2,21.21487632,36,99.6,62.6,61.67
8000936,Adam Cerra,CAR,NME,MID,,14640,86.4,26.79843359,59.6,140,97.2,96.33
8002431,Matthew Carroll,CAR,NME,DEF,,6950,39.2,15.68,23.5,70.6,68,68
8001733,Corey Durdin,CAR,NME,FWD,,7500,41.2,18.06048511,23.1,77.3,78,78
8002568,Finn O'Sullivan,NME,CAR,DEF,,7190,49.7,9.746794345,40,69.2,47.5,46.33
8002513,Cooper Lord,CAR,NME,MID,,8810,0,25.3034912,-25.3,50.6,55.75,51
8002462,Zane Duursma,NME,CAR,FWD,,6000,0,21.24012376,-21.2,42.5,49,49
8002281,Oliver Hollands,CAR,NME,DEF,,11700,71.9,18.49314196,53.4,108.9,68.4,74
