Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2
8000935,Andrew Brayshaw,FRE,RIC,Start,17030,104.1,27.39619742,76.7,158.9,MID,
8001529,Hayden Young,FRE,RIC,Start,12960,88,23.25537912,64.7,134.5,MID,
8002550,Murphy Reid,FRE,RIC,Start,9030,59.5,12.1483881,47.4,83.8,FWD,MID
8001749,Heath Chapman,FRE,RIC,Start,8800,62.1,19.391417,42.7,100.9,DEF,
8000762,Sean Darcy,FRE,RIC,Start,11810,79,25.32059821,53.7,129.6,RK,
8000240,Toby Nankervis,RIC,FRE,Start,15360,97.5,24.30571176,73.2,146.1,RK,
8001454,Jack Ross,RIC,FRE,Start,10700,75,26.20433829,48.8,127.4,MID,
8000050,Nick Vlastuin,RIC,FRE,Start,11290,75.4,22.1696275,53.2,119.7,DEF,
8000461,Jayden Short,RIC,FRE,Start,13270,88,22.7792266,65.2,133.6,DEF,
8001896,Tyler Sonsie,RIC,FRE,Start,6360,55.1,18.82170051,36.3,92.7,MID,
8001527,Caleb Serong,FRE,RIC,Start,16840,99.5,24.19929523,75.3,147.9,MID,
8001892,Sam Banks,RIC,FRE,Start,7980,54.9,18.07226837,36.8,91,FWD,
8001855,Matthew Johnson,FRE,RIC,Start,10670,69.3,25.29501542,44,119.9,MID,
8001850,Patrick Voss,FRE,RIC,Start,7770,50,12.3472894,37.7,74.7,FWD,RK
8000803,Tim Taranto,RIC,FRE,Start,13690,90.2,26.47882169,63.7,143.2,MID,
8001402,Jordan Clark,FRE,RIC,Start,14750,89.7,26.21165663,63.5,142.1,DEF,
8000040,Kamdyn McIntosh,RIC,FRE,Start,9400,61.7,18.75080113,42.9,99.2,MID,
8001568,Thomson Dow,RIC,FRE,Start,9270,60,20.08729172,39.9,100.2,MID,
8000499,Jacob Hopper,RIC,FRE,Start,12850,81,20.7172521,60.3,122.4,MID,
8000943,Sam Switkowski,FRE,RIC,Start,10460,66.9,18.27862888,48.6,103.5,FWD,
8002339,Steely Green,RIC,FRE,Start,6000,45.3,15.02775211,30.3,75.4,FWD,
8001856,Karl Worner,FRE,RIC,Start,6000,50.3,18.42527908,31.9,87.2,DEF,
8000137,Tom Lynch,RIC,FRE,Start,7040,53.7,26.40799225,27.3,106.5,FWD,
8001852,Jye Amiss,FRE,RIC,Start,8350,55.5,19.16837674,36.3,93.8,FWD,
8000767,Luke Ryan,FRE,RIC,Start,14640,88.7,27.34730643,61.4,143.4,DEF,
8001751,Josh Treacy,FRE,RIC,Start,12780,71.1,25.51434735,45.6,122.1,FWD,
8000934,Bailey Banfield,FRE,RIC,Start,7860,52.9,24.11029524,28.8,101.1,FWD,
8000301,Alex Pearce,FRE,RIC,Start,6000,46.1,16.81591083,29.3,79.7,DEF,
8001571,Hugo Ralphsmith,RIC,FRE,Start,7470,50.4,20.31322079,30.1,91,MID,
8002581,Jonty Faull,RIC,FRE,Start,6000,44.5,17.8,26.7,80.1,FWD,
8002372,James Trezise,RIC,FRE,Start,8080,56.5,20.46874928,36,97.4,DEF,
8002338,Seth Campbell,RIC,FRE,Start,7800,51.8,14.46985372,37.3,80.7,FWD,
8001524,Michael Frederick,FRE,RIC,Start,9170,57.8,19.62291307,38.2,97,FWD,
8001543,Jeremy Sharp,FRE,RIC,Start,10290,62,31.28844737,30.7,124.6,MID,
8001789,Maurice Rioli,RIC,FRE,Start,6690,44.5,20.7543455,23.7,86,FWD,
8000761,Brennan Cox,FRE,RIC,Start,7830,53.5,21.92420895,31.6,97.3,DEF,
8002520,Jacob Blight,RIC,FRE,Start,8160,57,21.46647441,35.5,99.9,DEF,
8000608,Nathan Broad,RIC,FRE,Start,10440,61.2,21.56448095,39.6,104.3,DEF,
8000811,Jaeger O'Meara,FRE,RIC,Start,12630,70.4,23.40555956,47,117.2,MID,
8000854,Shai Bolton,FRE,RIC,Start,11940,63.8,25.15124356,38.6,114.1,FWD,MID
8000989,Ben Miller,RIC,FRE,Start,8200,57.1,18.69716774,38.4,94.5,DEF,
8001893,Tom Brown,RIC,FRE,Start,7440,52.7,13.25502366,39.4,79.2,DEF,
8002295,Joshua Draper,FRE,RIC,Start,6000,40.4,18.42237927,22,77.2,DEF,
8002586,Luke Trainor,RIC,FRE,Start,9030,56.6,20.33674835,36.3,97.3,DEF,
