Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,Projected_Ownership,Exposure,MIN,MAX
8001859,Mitch Knevitt,GEE,ADE,Start,9330,78.4,29.32124305,49.1,137.0,MID,,37,,0,80
8000514,Alex Neal-Bullen,ADE,GEE,Start,11040,74.6,21.93892544,52.7,118.5,FWD,,17,,0,80
8000781,Mark O'Connor,GEE,ADE,Start,7790,56.4,18.47186277,37.9,93.3,DEF,MID,29,,0,80
8001833,Jake Soligo,ADE,GEE,Start,13750,89.7,24.18636307,65.5,138.1,MID,,36,,0,80
8000711,Mitchell Hinge,ADE,GEE,Start,11090,78.6,22.78626738,55.8,124.2,DEF,,22,,0,80
8000872,Jordan Dawson,ADE,GEE,Start,16380,111.5,25.72861513,85.8,163.0,MID,,36,,0,80
8000426,Rhys Stanley,GEE,ADE,Start,10280,79.1,23.52300189,55.6,126.1,RK,,31,,0,80
8000668,Reilly O'Brien,ADE,GEE,Start,12660,88.8,21.44700897,67.4,131.7,RK,,28,,0,80
8001861,Oisin Mullin,GEE,ADE,Start,6490,49.2,19.23228932,30.0,87.7,DEF,,16,,0,80
8000553,Jeremy Cameron,GEE,ADE,Start,12620,82.6,27.28614165,55.3,137.2,FWD,,13,,0,80
8000858,Tyson Stengle,GEE,ADE,Start,8050,57.8,19.41846709,38.4,96.6,FWD,,20,,0,80
8000789,Jack Bowes,GEE,ADE,Start,10980,74.7,25.21084297,49.5,125.1,MID,DEF,22,,0,80
8000175,Taylor Walker,ADE,GEE,Start,9370,65.7,27.65097031,38.0,121.0,FWD,,30,,0,80
8001818,James Peatling,ADE,GEE,Start,12670,82.2,32.41398875,49.8,147.0,MID,,15,,0,80
8002422,Daniel Curtin,ADE,GEE,Start,8220,56.7,25.51078203,31.2,107.7,MID,FWD,30,,0,80
8000408,Patrick Dangerfield,GEE,ADE,Start,11390,70.8,28.96422728,41.8,128.7,MID,FWD,20,,0,80
8000156,Matt Crouch,ADE,GEE,Start,15140,96.9,24.0108186,72.9,144.9,MID,,20,,0,80
8002448,Lawson Humphries,GEE,ADE,Start,12160,79.4,20.73598207,58.7,120.9,DEF,,13,,0,80
8001481,Bailey Smith,GEE,ADE,Start,15300,95.8,26.93402141,68.9,149.7,MID,,43,,0,80
8001726,Riley Thilthorpe,ADE,GEE,Start,11870,75.3,21.75946486,53.5,118.8,FWD,RK,40,,0,80
8000775,Zach Guthrie,GEE,ADE,Start,13310,85.8,25.31336223,60.5,136.4,DEF,,12,,0,80
8001369,Lachlan Sholl,ADE,GEE,Start,10660,72.5,27.35034355,45.1,127.2,MID,,16,,0,80
8001416,Izak Rankine,ADE,GEE,Start,12960,85.0,24.21937629,60.8,133.4,MID,,20,,0,80
8001531,Sam De Koning,GEE,ADE,Start,10970,76.4,21.01539008,55.4,118.4,RK,DEF,27,,0,80
8001831,Luke Nankervis,ADE,GEE,Start,9180,62.7,18.8402937,43.9,100.4,DEF,MID,16,,0,80
8000796,Isaac Cumming,ADE,GEE,Start,9920,65.2,23.59067969,41.6,112.4,MID,DEF,23,,0,80
8001400,Tom Atkins,GEE,ADE,Start,11580,74.1,22.36247328,51.7,118.8,MID,,25,,0,80
8000947,Gryan Miers,GEE,ADE,Start,13900,88.8,22.55555882,66.2,133.9,FWD,,19,,0,80
8001722,Brayden Cook,ADE,GEE,Not Named,6000,0.0,16.20576381,-16.2,32.4,FWD,DEF,0,,0,0
8001754,Max Holmes,GEE,ADE,Start,14870,88.7,26.63344417,62.1,142.0,MID,,22,,0,80
8002425,Oscar Ryan,ADE,GEE,Not Named,6000,0.0,23.08,-23.1,46.2,DEF,,0,,0,0
8002552,Cillian Burke,GEE,ADE,Not Named,6000,0.0,16.92,-16.9,33.8,DEF,,0,,0,0
